8/25/2020,PV-20-1990,Public Nuisance,Public Nuisance,"807 OLD WINSTON RD, HIGH POINT NC 27265",807 OLD WINSTON RD,807,OLD WINSTON,RD,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1991,Public Nuisance,Public Nuisance,"715 OLD WINSTON RD, HIGH POINT NC 27265",715 OLD WINSTON RD,715,OLD WINSTON,RD,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1992,Public Nuisance,Public Nuisance,"909 NORWOOD AV, HIGH POINT NC 27262",909 NORWOOD AV,909,NORWOOD,AV,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1993,Public Nuisance,Public Nuisance,"911 NORWOOD AV, HIGH POINT NC 27262",911 NORWOOD AV,911,NORWOOD,AV,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1994,Public Nuisance,Public Nuisance,"1307 GREEN DR, HIGH POINT NC 27260",1307 GREEN DR,1307,GREEN,DR,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-1995,Public Nuisance,Public Nuisance,"533 GATEWOOD AV, HIGH POINT NC 27262",533 GATEWOOD AV,533,GATEWOOD,AV,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-1996,Public Nuisance,Public Nuisance,"511 WOODROW AV, HIGH POINT NC 27262",511 WOODROW AV,511,WOODROW,AV,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1997,Public Nuisance,Public Nuisance,"4404 GARDEN CLUB ST, HIGH POINT NC 27265",4404 GARDEN CLUB ST,4404,GARDEN CLUB,ST,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1998,Public Nuisance,Public Nuisance,"1605 CAROLINA ST, HIGH POINT NC 27265",1605 CAROLINA ST,1605,CAROLINA,ST,Closed - Invalid Case,Public Nuisance
8/25/2020,PV-20-1999,Public Nuisance,Public Nuisance,"1998 MCGUINN DR, HIGH POINT NC 27265",1998 MCGUINN DR,1998,MCGUINN,DR,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-2000,Public Nuisance,Public Nuisance,"1607 CAROLINA ST, HIGH POINT NC 27265",1607 CAROLINA ST,1607,CAROLINA,ST,Closed - Owner Corrected,Public Nuisance
8/26/2020,DV-20-0288,Zoning,Zoning,"925 SHAMROCK RD, HIGH POINT NC 27265",925 SHAMROCK RD,925,SHAMROCK,RD,Closed - In Compliance,Zoning
8/26/2020,PV-20-2001,Public Nuisance,Public Nuisance,"206 OAKVIEW RD, HIGH POINT NC 27265",206 OAKVIEW RD,206,OAKVIEW,RD,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2002,Public Nuisance,Public Nuisance,"103 MONNELL DR, HIGH POINT NC 27265",103 MONNELL DR,103,MONNELL,DR,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2003,Public Nuisance,Public Nuisance,"105 MONNELL DR, HIGH POINT NC 27265",105 MONNELL DR,105,MONNELL,DR,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2004,Public Nuisance,Public Nuisance,"107 MONNELL DR, HIGH POINT NC 27265",107 MONNELL DR,107,MONNELL,DR,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2005,Public Nuisance,Public Nuisance,"808 CLIFFSIDE AV, APT A, HIGH POINT NC 27260",808 CLIFFSIDE AV,808,CLIFFSIDE,AV,Closed - Lien Released,Public Nuisance
8/26/2020,PV-20-2006,Public Nuisance,Public Nuisance,"622 SOUTH RD, HIGH POINT NC 27262",622 SOUTH RD,622,SOUTH,RD,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2007,Public Nuisance,Public Nuisance,"801 ELM ST, HIGH POINT NC 27260",801 ELM ST,801,ELM,ST,Closed - Lien Filed,Public Nuisance
8/26/2020,PV-20-2008,Public Nuisance,Public Nuisance,"119 WILLIS AV, HIGH POINT NC 27260",119 WILLIS AV,119,WILLIS,AV,Closed - Lien Filed,Public Nuisance
8/26/2020,PV-20-2009,Public Nuisance,Public Nuisance,"802 ELM ST, HIGH POINT NC 27260",802 ELM ST,802,ELM,ST,Closed - Lien Filed,Public Nuisance
8/26/2020,PV-20-2010,Public Nuisance,Public Nuisance,"1302 GREEN DR, HIGH POINT NC 27260",1302 GREEN DR,1302,GREEN,DR,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2011,Public Nuisance,Public Nuisance,"1814 BRUNSWICK CT, HIGH POINT NC 27262",1814 BRUNSWICK CT,1814,BRUNSWICK,CT,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2012,Public Nuisance,Public Nuisance,"912 GRANT ST, HIGH POINT NC 27262",912 GRANT ST,912,GRANT,ST,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2013,Public Nuisance,Public Nuisance,"816 MAGNOLIA CT, HIGH POINT NC 27262",816 MAGNOLIA CT,816,MAGNOLIA,CT,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2014,Public Nuisance,Public Nuisance,"2302 DALLAS AV, HIGH POINT NC 27265",2302 DALLAS AV,2302,DALLAS,AV,Closed - Lien Filed,Public Nuisance
8/26/2020,PV-20-2015,Public Nuisance,Public Nuisance,"143 GREENSBORO RD, SUITE 101, HIGH POINT NC 27260",143 GREENSBORO RD,143,GREENSBORO,RD,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2016,Public Nuisance,Public Nuisance,"209 SEWARD AV, HIGH POINT NC 27265",209 SEWARD AV,209,SEWARD,AV,Closed - Owner Corrected,Public Nuisance
8/26/2020,PV-20-2017,Public Nuisance,Public Nuisance,"503 VALLEYBROOK DR, JAMESTOWN NC 27282",503 VALLEYBROOK DR,503,VALLEYBROOK,DR,Closed - No Violation,Public Nuisance
8/26/2020,PV-20-2018,Public Nuisance,Public Nuisance,"232 HEDGECOCK RD, HIGH POINT NC 27265",232 HEDGECOCK RD,232,HEDGECOCK,RD,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2019,Public Nuisance,Public Nuisance,"904 PROCTOR DR, HIGH POINT NC 27260",904 PROCTOR DR,904,PROCTOR,DR,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2020,Public Nuisance,Public Nuisance,"402 ACADEMY ST, HIGH POINT NC 27260",402 ACADEMY ST,402,ACADEMY,ST,Closed - Invoice Paid,Public Nuisance
8/27/2020,PV-20-2021,Public Nuisance,Public Nuisance - Securing,"2206 GABLE WY, HIGH POINT NC 27262",2206 GABLE WY,2206,GABLE,WY,Closed - Lien Filed,Public Nuisance - Securing
8/27/2020,PV-20-2022,Public Nuisance,Public Nuisance,"1304 LAKECREST AV, HIGH POINT NC 27265",1304 LAKECREST AV,1304,LAKECREST,AV,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2023,Public Nuisance,Public Nuisance,"410 HILLCREST DR, HIGH POINT NC 27262",410 HILLCREST DR,410,HILLCREST,DR,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2024,Public Nuisance,Public Nuisance,"1213 CLOVERDALE ST, HIGH POINT NC 27260",1213 CLOVERDALE ST,1213,CLOVERDALE,ST,Closed - Owner Corrected,Public Nuisance
