ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
1004 THOMAS AVE,06/18/2013 12:00:00 AM,Duplex,3,1,7,32500,"(44.95920578, -93.14257873)"
1411 ALBEMARLE ST,12/03/2019 12:00:00 AM,Single Family Residential,1,5,6,30400,"(44.98369079, -93.10736716)"
609 SIMS AVE UNIT MAIN,11/03/2020 12:00:00 AM,Duplex,2,6,5,31500,"(44.96944517, -93.07477992)"
1350 HAGUE AVE,10/27/2017 12:00:00 AM,Single Family Residential,2,1,13,35200,"(44.94571273, -93.15721502)"
2171 5TH ST E,10/31/2018 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95959927, -93.00873447)"
1150 CENTRAL AVE W,11/30/2020 12:00:00 AM,Multi-family Residential,1,1,13,33400,"(44.95288035, -93.14869511)"
1899 IGLEHART AVE,08/15/2019 12:00:00 AM,Single Family Residential,2,4,13,33300,"(44.94960619, -93.1806535)"
963 WATSON AVE,12/10/2019 12:00:00 AM,Single Family Residential,1,2,9,36700,"(44.92430053, -93.1407266)"
1258 RICE ST,02/11/2009 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97908427, -93.10557332)"
69 GARFIELD ST,04/05/2010 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93928253, -93.11372992)"
248 BANFIL ST,03/29/2021 12:00:00 AM,Duplex,1,2,9,36000,"(44.93698874, -93.11059328)"
1486 MIDWAY PKWY,06/05/2018 12:00:00 AM,Single Family Residential,1,4,10,30201,"(44.98058661, -93.16300818)"
975 MARSHALL AVE,06/27/2017 12:00:00 AM,Single Family Residential,3,1,8,33800,"(44.94873562, -93.14117343)"
1184 COOK AVE E,10/08/2020 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97288089, -93.05039275)"
117 UNIVERSITY AVE W,12/20/2013 12:00:00 AM,Commercial,2,1,7,42800,"(44.95613756, -93.10498612)"
1067 COMO PLACE,04/16/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.97333441, -93.13461986)"
329 LAWSON AVE W,02/09/2021 12:00:00 AM,Duplex,1,5,6,30800,"(44.97210767, -93.11392547)"
1128 MACKUBIN ST,05/05/2009 12:00:00 AM,Duplex,3,5,6,30800,"(44.97530449, -93.12104279)"
1336 DAYTON AVE,10/02/2014 12:00:00 AM,Duplex,2,1,13,35300,"(44.94731307, -93.15657788)"
1054 UNIVERSITY AVE W,12/11/2020 12:00:00 AM,Commercial,1,1,8,33500,"(44.95552686, -93.14478111)"
792 ROSE AVE E,02/19/2020 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97647282, -93.06691482)"
253 AVON ST N,01/19/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94909317, -93.13335907)"
594 REANEY AVE,08/06/2009 12:00:00 AM,Duplex,2,6,5,31500,"(44.96376644, -93.07541994)"
1807 7TH ST E,11/07/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96687274, -93.02403206)"
1219 MINNEHAHA AVE W,07/20/2020 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9631346, -93.15146626)"
1629 HARTFORD AVE,12/26/2019 12:00:00 AM,Single Family Residential,3,3,15,36400,"(44.92354712, -93.16910163)"
291 STINSON ST,07/09/2020 12:00:00 AM,Duplex,2,1,6,31300,"(44.96943637, -93.11237789)"
956 WESTERN AVE N,02/17/2021 12:00:00 AM,Duplex,2,1,6,31300,"(44.96997234, -93.11596047)"
655 JESSAMINE AVE E,06/19/2019 12:00:00 AM,Single Family Residential,3,6,5,31000,"(44.97487453, -93.07275233)"
1472 BIRMINGHAM ST,07/20/2020 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98576127, -93.04033929)"
318 EDMUND AVE,10/04/2012 12:00:00 AM,Single Family Residential,3,1,7,32700,"(44.9583022, -93.11362018)"
273 WINIFRED ST E,06/15/2020 12:00:00 AM,Duplex,1,2,3,36100,"(44.9303878, -93.07256692)"
975 HUDSON ROAD,11/19/2015 12:00:00 AM,Single Family Residential,3,7,4,34500,"(44.95237257, -93.05925407)"
