1/20/2021,INV21-01087,"909 N GRANT AVE, INDIANAPOLIS IN 46201",909 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01088,"915 N GRANT AVE, INDIANAPOLIS IN 46201",915 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01089,"923 N GRANT AVE, INDIANAPOLIS IN 46201",923 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01090,"1430 BROADWAY ST, INDIANAPOLIS IN 46202",1430 BROADWAY ST,", INDIANAPOLIS IN 46202",Investigation - Unsafe Buildings,Closed
1/20/2021,INV21-01091,"845 N DENNY ST, INDIANAPOLIS IN 46201",845 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01092,"833 N DENNY ST, INDIANAPOLIS IN 46201",833 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01093,"806 N CHESTER AVE, INDIANAPOLIS IN 46201",806 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01094,"802 N CHESTER AVE, INDIANAPOLIS IN 46201",802 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01095,"702 N CHESTER AVE, INDIANAPOLIS IN 46201",702 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01096,"625 N GRANT AVE, INDIANAPOLIS IN 46201",625 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01097,"707 N GRANT AVE, INDIANAPOLIS IN 46201",707 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01098,"834 N GLADSTONE AVE, INDIANAPOLIS IN 46201",834 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01099,"866 N GLADSTONE AVE, INDIANAPOLIS IN 46201",866 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01100,"2451 SHELDON ST, INDIANAPOLIS IN 46218",2451 SHELDON ST,", INDIANAPOLIS IN 46218",Investigation-Zoning,Closed
1/20/2021,INV21-01101,"5230 W MORRIS ST, INDIANAPOLIS IN 46241",5230 W MORRIS ST,", INDIANAPOLIS IN 46241",Investigation - Trash,Closed
1/20/2021,INV21-01102,"4756 DANCER DR, INDIANAPOLIS IN 46237",4756 DANCER DR,", INDIANAPOLIS IN 46237",Investigation - Trash,Closed
1/20/2021,INV21-01103,"4151 KESSLER BLVD EDR, INDIANAPOLIS IN 46220",4151 KESSLER BLVD EDR,", INDIANAPOLIS IN 46220",Investigation-Zoning,Closed
1/20/2021,INV21-01104,"5327 W 34TH ST, INDIANAPOLIS IN 46224",5327 W 34TH ST,", INDIANAPOLIS IN 46224",Investigation - Trash,Closed
1/20/2021,INV21-01105,"2332 45TH ST, INDIANAPOLIS IN 46205",2332 45TH ST,", INDIANAPOLIS IN 46205",Investigation-Zoning,Closed
1/20/2021,INV21-01106,"5347 W 34TH ST, INDIANAPOLIS IN 46224",5347 W 34TH ST,", INDIANAPOLIS IN 46224",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01107,"2326 GUILFORD AVE, INDIANAPOLIS IN 46205",2326 GUILFORD AVE,", INDIANAPOLIS IN 46205",Investigation - Unsafe Buildings,Closed
1/20/2021,INV21-01108,"5347 W 34TH ST, INDIANAPOLIS IN 46224",5347 W 34TH ST,", INDIANAPOLIS IN 46224",Investigation - Trash,Closed
1/20/2021,INV21-01109,"4505 W WASHINGTON ST, INDIANAPOLIS IN 46241",4505 W WASHINGTON ST,", INDIANAPOLIS IN 46241",Investigation-Zoning,Closed
1/20/2021,INV21-01110,"3281 ASHLEY LN, INDIANAPOLIS IN 46224",3281 ASHLEY LN,", INDIANAPOLIS IN 46224",Investigation - Trash,Closed
1/20/2021,INV21-01111,"4401 E 34TH ST, INDIANAPOLIS IN 46218",4401 E 34TH ST,", INDIANAPOLIS IN 46218",Investigation-Zoning,Closed
1/20/2021,INV21-01112,"515 W RAYMOND ST, INDIANAPOLIS IN 46225",515 W RAYMOND ST,", INDIANAPOLIS IN 46225",Investigation - Air Quality,Closed
1/20/2021,INV21-01113,"2126 HYPERION WAY, INDIANAPOLIS IN 46203",2126 HYPERION WAY,", INDIANAPOLIS IN 46203",Investigation-Zoning,Closed
1/20/2021,INV21-01114,"3246 N EMERSON AVE, INDIANAPOLIS IN 46218",3246 N EMERSON AVE,", INDIANAPOLIS IN 46218",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01115,"12707 E 86TH ST, LAWRENCE IN 46236",12707 E 86TH ST,", LAWRENCE IN 46236",Investigation-Zoning,Closed
1/20/2021,INV21-01116,"3802 N KENWOOD AVE, INDIANAPOLIS IN 46208",3802 N KENWOOD AVE,", INDIANAPOLIS IN 46208",Investigation-Zoning,Closed
1/20/2021,INV21-01117,"2302 E MICHIGAN ST, INDIANAPOLIS IN 46201",2302 E MICHIGAN ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01118,"2248 E MICHIGAN ST, INDIANAPOLIS IN 46201",2248 E MICHIGAN ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01119,"3200 W 39TH PL, INDIANAPOLIS IN 46228",3200 W 39TH PL,", INDIANAPOLIS IN 46228",Investigation - Trash,Closed
1/20/2021,INV21-01120,"1423 N PENNSYLVANIA ST, INDIANAPOLIS IN 46202",1423 N PENNSYLVANIA ST,", INDIANAPOLIS IN 46202",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01121,"11615 LONE PINE CIR, INDIANAPOLIS IN 46235",11615 LONE PINE CIR,", INDIANAPOLIS IN 46235",Investigation-Zoning,"Closed, VIO"
1/20/2021,INV21-01122,"3827 N COLLEGE AVE, INDIANAPOLIS IN 46205",3827 N COLLEGE AVE,", INDIANAPOLIS IN 46205",Investigation-Zoning,Closed
1/20/2021,INV21-01123,"2817 GRANADA CIR N, INDIANAPOLIS IN 46222",2817 GRANADA CIR N,", INDIANAPOLIS IN 46222",Investigation-Zoning,Closed
1/20/2021,INV21-01124,"333 WOODROW AVE, INDIANAPOLIS IN 46241",333 WOODROW AVE,", INDIANAPOLIS IN 46241",Investigation - Unsafe Buildings,Closed
1/20/2021,INV21-01125,"2055 E 46TH ST, INDIANAPOLIS IN 46205",2055 E 46TH ST,", INDIANAPOLIS IN 46205",Investigation - Unsafe Buildings,Closed
1/20/2021,INV21-01126,"958 N DENNY ST, INDIANAPOLIS IN 46201",958 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01127,"954 N DENNY ST, INDIANAPOLIS IN 46201",954 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01128,"817 N BRADLEY AVE, INDIANAPOLIS IN 46201",817 N BRADLEY AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01129,"814 N DENNY ST, INDIANAPOLIS IN 46201",814 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01130,"724 N DENNY ST, INDIANAPOLIS IN 46201",724 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01131,"722 N DENNY ST, INDIANAPOLIS IN 46201",722 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01132,"718 N DENNY ST, INDIANAPOLIS IN 46201",718 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01133,"702 N DENNY ST, INDIANAPOLIS IN 46201",702 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01134,"602 N DENNY ST, INDIANAPOLIS IN 46201",602 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01135,"519 N BRADLEY AVE, INDIANAPOLIS IN 46201",519 N BRADLEY AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01136,"3816 E MICHIGAN ST, INDIANAPOLIS IN 46201",3816 E MICHIGAN ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
