10/1/2020,ENV-20-18915,Litter,"226 OBRIEN St, Unit 228, SOUTH BEND IN 46628",226 OBRIEN,Closed,
10/1/2020,ENV-20-18914,Litter,"534 S GRANT St, SOUTH BEND IN 46619",534 S GRANT,Review Case for Collections,
10/1/2020,ENV-20-18913,Litter,"1146 N BROOKFIELD St, SOUTH BEND IN 46628",1146 N BROOKFIELD,Review Case for Collections,
10/1/2020,ENV-20-18912,Litter,"608 S KENTUCKY St, SOUTH BEND IN 46619",608 S KENTUCKY,Closed,
10/1/2020,ENV-20-18911,Litter,"1134 N BROOKFIELD St, SOUTH BEND IN 46628",1134 N BROOKFIELD,Closed,
10/1/2020,ENV-20-18910,Litter,"750 DUNDEE St, SOUTH BEND IN 46619",750 DUNDEE,Closed,
10/1/2020,SEC-20-00204,Secure Property,"1352 E DAYTON St, SOUTH BEND IN 46613",1352 E DAYTON,Review Case for Collections,
10/1/2020,ENV-20-18909,Litter,"1102 N BROOKFIELD St, SOUTH BEND IN 46628",1102 N BROOKFIELD,Closed,
10/1/2020,ENV-20-18908,Litter,"750 DUNDEE St, SOUTH BEND IN 46619",750 DUNDEE,Closed,
10/1/2020,ENV-20-18907,Litter,"1117 COLLEGE St, SOUTH BEND IN 46628",1117 COLLEGE,Closed,
10/1/2020,ENV-20-18906,Grass and Weeds,"750 DUNDEE St, SOUTH BEND IN 46619",750 DUNDEE,Closed,
10/1/2020,ENV-20-18905,Litter,"1130 N BROOKFIELD St, SOUTH BEND IN 46628",1130 N BROOKFIELD,Closed,
10/1/2020,ENV-20-18904,Litter,"1138 N BROOKFIELD St, SOUTH BEND IN 46628",1138 N BROOKFIELD,Closed,
10/1/2020,ENV-20-18903,Litter,"1804 LINCOLN Way W, SOUTH BEND IN 466282620",1804 LINCOLN ay,Review Case for Collections,
10/1/2020,ENV-20-18902,Grass and Weeds,"3105 HURON St, SOUTH BEND IN 46619",3105 HURON,Review Case for Collections,
10/1/2020,ENV-20-18901,Litter,"501 W COLFAX Ave, SOUTH BEND IN 46601",501 W COLFAX,Closed,
10/1/2020,ENV-20-18900,Litter,"1113 N BROOKFIELD St, SOUTH BEND IN 46628",1113 N BROOKFIELD,Review Case for Collections,
10/1/2020,HSG-20-00149,Sub-standard Housing,"1413 FREMONT St, SOUTH BEND IN 46628",1413 FREMONT,Hearing Deadline Not Met,
10/1/2020,ENV-20-18899,Litter,"514 S 24TH St, SOUTH BEND IN 46615",514 S 24TH,Closed,
10/1/2020,ENV-20-18898,Litter,"614 S 24TH St, SOUTH BEND IN 46615",614 S 24TH,Closed,
10/1/2020,ENV-20-18897,Litter,"610 DUNDEE St, SOUTH BEND IN 46619",610 DUNDEE,Review Case for Collections,
10/1/2020,ENV-20-18896,Litter,"718 DUNDEE St, SOUTH BEND IN 46619",718 DUNDEE,Closed,
10/1/2020,ENV-20-18895,Litter,"3422 MISHAWAKA Ave, SOUTH BEND IN 46615",3422 MISHAWAKA,Closed,
10/1/2020,ENV-20-18894,Grass and Weeds,"1013 S 31 St, SOUTH BEND IN 46615",1013 S 31,Review Case for Collections,
10/1/2020,ENV-20-18893,Litter,"1102 S 34TH St, SOUTH BEND IN 46615",1102 S 34TH,Closed,
10/1/2020,ENV-20-18892,Litter,"1022 S 34TH St, SOUTH BEND IN 46615",1022 S 34TH,Closed,
10/1/2020,ENV-20-18891,Litter,"805 S 34TH St, SOUTH BEND IN 46615",805 S 34TH,Closed,
10/1/2020,ENV-20-18890,Grass and Weeds,"718 HARRISON Ave, SOUTH BEND IN 46616",718 HARRISON,Closed,
10/1/2020,ENV-20-18889,Litter,"601 S 30TH St, SOUTH BEND IN 46615",601 S 30TH,Closed,
10/1/2020,ENV-20-18888,Grass and Weeds,"2905 PLEASANT St, SOUTH BEND IN 46615",2905 PLEASANT,Closed,
10/1/2020,ENV-20-18887,Grass and Weeds,"947 S 27TH St, SOUTH BEND IN 46615",947 S 27TH,Closed,
10/1/2020,ENV-20-18886,Litter,"914 S 26TH St, SOUTH BEND IN 46615",914 S 26TH,Closed,
10/1/2020,ENV-20-18885,Grass and Weeds,"806 S 26TH St, SOUTH BEND IN 46615",806 S 26TH,Closed,
