311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
417846,8/13/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"9000 MACEDONIA LAKE DR, CARY 27511",
349008,3/6/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"902 MEDLIN DR, CARY 275114321",
403294,7/13/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"902 SW MAYNARD RD, CARY 275114319",
386980,6/5/2020,Closed,Public Works,Code Enforcement Inquiry,"903 QUEENSFERRY RD, CARY 275116422",
331589,1/29/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"906 BALMORAL DR, CARY 275116213",
402931,7/13/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"907 WASHINGTON ST, CARY 275113917",
496045,2/1/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"910 BROOKGREEN DR, CARY 275115149",
412161,7/31/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"910 GRIFFIS ST, CARY 275113748",
368422,4/25/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"913 SUSSEX LN, CARY 275113813",
370403,4/30/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"913 SUSSEX LN, CARY 275113813",
492614,1/22/2021,Closed,Public Works,Code Enforcement Inquiry,"914 ALDEN BRIDGE DR, CARY 275198321",
400292,7/7/2020,Closed,Public Works,Code Enforcement Inquiry,"920 ENDHAVEN PL, CARY 275196375",
528823,4/9/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"921 CINDY ST, CARY 275114603",
363246,4/13/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"922 NORTHWOODS DR, CARY 275133803",
332277,1/30/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"924 MAYNARD CREEK CT, CARY 27513",Hydrant: 008502
399198,7/4/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"925 GRIFFIS ST, CARY 275113747",
411192,7/29/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"925 GRIFFIS ST, CARY 275113747",
423426,8/25/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"925 GRIFFIS ST, CARY 275113747",
386296,6/4/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"9260 CHAPEL HILL RD, CARY 275133611",
374406,5/7/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"928 W CHATHAM ST, CARY 275113167",
418822,8/16/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"928 W CHATHAM ST, CARY 275113167",
395320,6/25/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"929 KILDAIRE FARM RD, CARY 275113922",
430280,9/9/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"930 JASON CT, CARY 275113141",
372541,5/5/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"932 MADISON AVE, CARY 275134347",
415281,8/7/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"932 MADISON AVE, CARY 275134347",
362358,4/8/2020,Closed,Code Enforcement,Graffiti/Defacement,"980 KILDAIRE FARM RD, CARY 275113923",
516582,3/18/2021,Closed,Public Works,Code Enforcement Inquiry,"980 KILDAIRE FARM RD, CARY 275113923",
520025,3/24/2021,Closed,Code Enforcement,",",Segment: WELLESLEY TRADE LN (100 ? 351),
489254,1/14/2021,Closed,Code Enforcement,"123 BONNELL CT, CARY 275115401",SW CARY PKWY ? ROW,
319063,1/2/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
319212,1/3/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,
319395,1/3/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
319854,1/5/2020,Completed,Code Enforcement,Graffiti/Defacement,,
320065,1/6/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
321300,1/7/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
322433,1/9/2020,Completed,Code Enforcement,"840 W CHATHAM ST, CARY 275113153",,
323159,1/10/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
323267,1/10/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
323874,1/13/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
324503,1/14/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
325834,1/17/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,,
327236,1/22/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
327904,1/23/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
331558,1/29/2020,Closed,Code Enforcement,Graffiti/Defacement,,
331768,1/29/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
331965,1/30/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
335659,2/4/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
335830,2/5/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
336526,2/6/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
336569,2/6/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
336591,2/6/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
337358,2/8/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
338586,2/12/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
338592,2/12/2020,Closed,Code Enforcement,",",,
338716,2/12/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
338807,2/12/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,Traffic Signal: 05?2054 ? SW Cary Pkwy ? Waldo Rood Blvd
339936,2/15/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
340889,2/18/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
343580,2/23/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
343582,2/23/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
344787,2/26/2020,Closed on Call,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
344826,2/26/2020,Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
345216,2/27/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
345500,2/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
345943,2/28/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
345949,2/28/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
346449,3/1/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
346900,3/2/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
346982,3/2/2020,Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
347269,3/3/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
348697,3/5/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
350066,3/9/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
350287,3/10/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
352185,3/13/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
354161,3/19/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
355157,3/21/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
355711,3/24/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
