Date,Record Number,Record Type,Status,Address,parcel_id,site_address,Site_city,Site_zip Code,mail_address,mail_city,mail_state,mail_zip,land_value,bldg_value,total_market_value
2/22/2021,COD2021-00647,Code Enforcement Case,Under Investigation,37343 Blacow Rd,501-350-15,37343 BLACOW RD,FREMONT,94536,8800 E RAINTREE DR 300,SCOTTSDALE,AZ,85260,"$169,847 ","$1,030,893 ","$1,210,927 "
2/22/2021,COD2021-00646,Code Enforcement Case,Under Investigation,2414 Middlefield Ave,525-353-7-1,2414 MIDDLEFIELD AVE,FREMONT,94539,2414 MIDDLEFIELD AVE,FREMONT,CA,94539,"$151,447 ","$463,121 ","$607,568 "
2/22/2021,COD2021-00645,Code Enforcement Case,Unfounded,2414 Middlefield Ave,525-353-7-1,2414 MIDDLEFIELD AVE,FREMONT,94539,2414 MIDDLEFIELD AVE,FREMONT,CA,94539,"$151,447 ","$463,121 ","$607,568 "
2/19/2021,COD2021-00638,Code Enforcement Case,Enforcement,4050 Irvington Ave,525-1200-1-2,4050 IRVINGTON AVE,FREMONT,94538,40849  BLVD,FREMONT,CA,94538,"$986,916 ",$0 ,"$986,916 "
2/19/2021,COD2021-00639,Code Enforcement Case,Abated,39111 Yosemite Way,501-958-52,39111 YOSEMITE WAY,FREMONT,94538,39111 YOSEMITE WAY,FREMONT,CA,94538,"$186,266 ","$434,622 ","$613,888 "
2/19/2021,COD2021-00640,Code Enforcement Case,Referred,41223 Roberts Ave,525-621-40-4,41223 ROBERTS AVE,FREMONT,94538,1630 OAKLAND RD A215 SAN,JOSE,CA,95131,"$2,016,280 ",$0 ,"$2,016,280 "
2/19/2021,COD2021-00641,Code Enforcement Case,Under Investigation,41191 Fremont Blvd,525-1200-5-2,41191  BLVD,FREMONT,94538,40849  BLVD,FREMONT,CA,94538,"$3,846,850 ",$0 ,"$3,846,850 "
2/19/2021,COD2021-00642,Code Enforcement Case,Abated,4400 Central Ave # 405,,,,,,,,,,,
2/19/2021,COD2021-00643,Code Enforcement Case,Unfounded,600 Curtner Rd,519-1590-86,600 CURTNER RD,FREMONT,94539,600 CURTNER RD,FREMONT,CA,94539,"$649,452 ","$1,233,958 ","$1,883,410 "
2/19/2021,COD2021-00644,Code Enforcement Case,Under Investigation,42516 Roberts Ave,525-1646-91,42516 ROBERTS AVE,FREMONT,94538,42516 ROBERTS AVE,FREMONT,CA,94538,"$135,073 ","$346,040 ","$481,113 "
